Rank,Nation,Squad_Size,Avg_Age,Total Value,Confideration,Points
57,Ecuador,24,27.8,$44.61m,CONMEBOL,1409
58,Qatar,23,25.7,$16.25m,AFC,1391
58,Burkina Faso,27,26.6,$88.41m,CAF,1391
60,DR Congo,32,27.4,$48.35m,CAF,1386
61,Ivory Coast,24,27.9,$270.24m,CAF,1384
62,Slovenia,25,27.8,$148.34m,UEFA,1379
63,Montenegro,37,28.1,$70.51m,UEFA,1370
64,Honduras,23,27.8,$10.78m,CONCACAF,1367
66,Albania,28,26.1,$117.89m,UEFA,1360
67,Saudi Arabia,25,26.2,$24.83m,AFC,1353
68,Bulgaria,26,28.1,$21.62m,UEFA,1350
69,Iraq,23,25,$7.89m,AFC,1348
70,El Salvador,23,29.2,$2.20m,CONCACAF,1344
